时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(uT),磁场Y(uT),磁场Z(uT),四元数0(),四元数1(),四元数2(),四元数3(),温度(°C),版本号(),电量(%)
2025-05-07 11:48:40.655,WTRA(F7:C5:A7:64:8A:09),0.282,0.513,0.824,-1.038,-0.671,0.305,32.64,-15.52,-148.02,-35.875,-35.75,-8.717,-0.2984,0.04669,0.30417,0.90341,23.3,10080.1.21,100
2025-05-07 11:48:40.727,WTLA(D2:5B:8F:2B:49:EE),0.285,-0.42,0.897,0.732,1.587,-0.549,-23.14,-14.06,162.33,-11.25,13.875,-49.5,0.1727,0.09192,-0.21725,0.95627,22.9,10080.1.21,100
2025-05-07 11:48:40.734,WTC(C4:80:F9:46:D1:94),-0.268,0.76,0.627,0.793,-5.371,-0.061,50.0,16.69,-107.92,-30.375,-58.75,-68.117,-0.47729,-0.35162,0.26221,0.76135,25.8,10080.1.21,100
2025-05-07 11:48:40.775,WTRA(F7:C5:A7:64:8A:09),0.283,0.519,0.822,0.0,0.122,0.183,32.6,-15.5,-147.96,-35.75,-37.25,-14.25,-0.2984,0.04669,0.30417,0.90341,23.3,10080.1.21,100
2025-05-07 11:48:40.857,WTC(C4:80:F9:46:D1:94),-0.259,0.757,0.617,-0.916,-2.502,-0.061,50.06,16.55,-108.08,-30.375,-58.75,-68.117,-0.47729,-0.35162,0.26221,0.76135,25.8,10080.1.21,100
2025-05-07 11:48:40.865,WTRA(F7:C5:A7:64:8A:09),0.283,0.513,0.818,-0.488,-0.122,0.305,32.56,-15.52,-147.92,-35.75,-37.25,-14.25,-0.2984,0.04669,0.30417,0.90341,23.3,10080.1.21,100
2025-05-07 11:48:40.874,WTLA(D2:5B:8F:2B:49:EE),0.272,-0.418,0.888,0.854,1.587,0.183,-23.09,-14.01,162.28,-11.25,13.875,-49.5,0.17386,0.08716,-0.21445,0.95712,22.9,10080.1.21,100
2025-05-07 11:48:40.934,WTLA(D2:5B:8F:2B:49:EE),0.26,-0.421,0.886,1.038,1.526,0.427,-22.98,-13.77,162.24,-11.25,13.875,-49.5,0.17386,0.08716,-0.21445,0.95712,22.9,10080.1.21,100
2025-05-07 11:48:40.977,WTC(C4:80:F9:46:D1:94),-0.258,0.761,0.622,-1.16,2.075,0.0,50.02,16.45,-108.13,-26.875,-60.5,-68.417,-0.47729,-0.35162,0.26221,0.76135,25.8,10080.1.21,100
2025-05-07 11:48:40.985,WTRA(F7:C5:A7:64:8A:09),0.286,0.515,0.826,-0.061,0.793,0.305,32.56,-15.52,-147.89,-35.75,-37.25,-14.25,-0.29947,0.04791,0.3028,0.90347,23.3,10080.1.21,100
2025-05-07 11:48:41.340,WTC(C4:80:F9:46:D1:94),-0.27,0.738,0.604,-2.502,-0.183,0.305,49.72,16.45,-108.08,-26.875,-60.5,-68.417,-0.47729,-0.35162,0.26221,0.76135,25.8,10080.1.21,100
2025-05-07 11:48:41.580,WTLA(D2:5B:8F:2B:49:EE),0.25,-0.416,0.885,0.305,0.977,1.221,-22.9,-13.56,162.25,-10.625,10.875,-54.658,0.17386,0.08716,-0.21445,0.95712,22.9,10080.1.21,100
2025-05-07 11:48:41.750,WTRA(F7:C5:A7:64:8A:09),0.287,0.509,0.828,-0.732,0.854,0.122,32.55,-15.53,-147.86,-35.75,-37.25,-14.25,-0.29947,0.04791,0.3028,0.90347,23.3,10080.1.21,100
2025-05-07 11:48:41.138,WTC(C4:80:F9:46:D1:94),-0.274,0.73,0.616,-0.305,-4.15,-0.122,49.63,16.41,-108.17,-26.875,-60.5,-68.417,-0.47729,-0.35162,0.26221,0.76135,25.8,10080.1.21,100
2025-05-07 11:48:41.152,WTLA(D2:5B:8F:2B:49:EE),0.26,-0.417,0.888,0.366,0.732,0.244,-22.84,-13.44,162.26,-10.625,10.875,-54.658,0.17279,0.08313,-0.2114,0.95834,22.9,10080.1.21,100
2025-05-07 11:48:41.195,WTRA(F7:C5:A7:64:8A:09),0.284,0.505,0.826,-0.305,0.305,0.366,32.54,-15.54,-147.84,-35.75,-35.875,-14.967,-0.29947,0.04791,0.3028,0.90347,23.3,10080.1.21,100
2025-05-07 11:48:41.247,WTC(C4:80:F9:46:D1:94),-0.262,0.752,0.64,0.0,-5.371,0.549,49.84,16.34,-108.28,-26.875,-60.5,-68.417,-0.47714,-0.34842,0.26324,0.76257,25.8,10080.1.21,100
2025-05-07 11:48:41.264,WTLA(D2:5B:8F:2B:49:EE),0.258,-0.415,0.897,0.977,2.014,0.061,-22.75,-13.4,162.26,-10.625,10.875,-54.658,0.17279,0.08313,-0.2114,0.95834,22.9,10080.1.21,100
2025-05-07 11:48:41.286,WTRA(F7:C5:A7:64:8A:09),0.282,0.505,0.818,-0.671,-1.221,0.488,32.53,-15.55,-147.82,-35.75,-35.875,-14.967,-0.29947,0.04791,0.3028,0.90347,23.3,10080.1.21,100
2025-05-07 11:48:41.328,WTLA(D2:5B:8F:2B:49:EE),0.264,-0.412,0.899,0.854,2.136,0.366,-22.66,-13.29,162.27,-12.25,13.125,-52.483,0.17279,0.08313,-0.2114,0.95834,22.9,10080.1.21,100
2025-05-07 11:48:41.336,WTC(C4:80:F9:46:D1:94),-0.268,0.763,0.615,0.0,-0.793,0.122,50.14,16.3,-108.24,-28.375,-59.375,-62.8,-0.47714,-0.34842,0.26324,0.76257,25.8,10080.1.21,100
2025-05-07 11:48:41.434,WTRA(F7:C5:A7:64:8A:09),0.287,0.51,0.819,-0.122,-0.244,0.305,32.52,-15.56,-147.79,-35.75,-35.875,-14.967,-0.30035,0.04807,0.30258,0.90323,23.3,10080.1.21,100
2025-05-07 11:48:41.447,WTLA(D2:5B:8F:2B:49:EE),0.25,-0.415,0.9,0.732,0.0,1.709,-22.64,-13.21,162.38,-12.25,13.125,-52.483,0.17279,0.08313,-0.2114,0.95834,22.9,10080.1.21,100
2025-05-07 11:48:41.455,WTC(C4:80:F9:46:D1:94),-0.269,0.757,0.633,-0.183,-2.197,0.061,50.2,16.33,-108.14,-28.375,-59.375,-62.8,-0.47714,-0.34842,0.26324,0.76257,25.8,10080.1.21,100
2025-05-07 11:48:41.465,WTRA(F7:C5:A7:64:8A:09),0.288,0.518,0.821,0.427,1.221,-0.671,32.5,-15.57,-147.77,-35.75,-35.875,-14.967,-0.30035,0.04807,0.30258,0.90323,23.3,10080.1.21,100
2025-05-07 11:48:41.532,WTC(C4:80:F9:46:D1:94),-0.265,0.771,0.625,-2.38,1.404,-0.305,49.94,16.33,-108.11,-28.375,-59.375,-62.8,-0.47943,-0.34732,0.26114,0.76236,25.8,10080.1.21,100
2025-05-07 11:48:41.534,WTLA(D2:5B:8F:2B:49:EE),0.281,-0.418,0.894,0.244,-0.122,0.305,-22.64,-13.16,162.5,-12.25,13.125,-52.483,0.17279,0.08313,-0.2114,0.95834,22.9,10080.1.21,100
2025-05-07 11:48:41.586,WTRA(F7:C5:A7:64:8A:09),0.278,0.516,0.821,0.0,-0.427,0.122,32.49,-15.59,-147.74,-36.25,-35.625,-12.208,-0.30035,0.04807,0.30258,0.90323,23.3,10080.1.21,100
2025-05-07 11:48:41.634,WTC(C4:80:F9:46:D1:94),-0.248,0.756,0.594,0.488,2.991,-0.244,49.63,16.25,-108.08,-28.375,-59.375,-62.8,-0.47943,-0.34732,0.26114,0.76236,25.8,10080.1.21,100
2025-05-07 11:48:41.657,WTLA(D2:5B:8F:2B:49:EE),0.271,-0.418,0.883,-0.061,-2.014,-2.319,-22.65,-13.37,162.45,-12.25,13.125,-52.483,0.17151,0.08334,-0.21014,0.95883,22.9,10080.1.21,100
2025-05-07 11:48:41.675,WTRA(F7:C5:A7:64:8A:09),0.293,0.519,0.826,-0.366,-0.488,0.183,32.48,-15.61,-147.72,-36.25,-35.625,-12.208,-0.30035,0.04807,0.30258,0.90323,23.3,10080.1.21,100
2025-05-07 11:48:41.725,WTC(C4:80:F9:46:D1:94),-0.26,0.735,0.599,1.77,2.747,-0.671,49.45,16.05,-108.29,-29.125,-60.0,-68.725,-0.47943,-0.34732,0.26114,0.76236,25.8,10080.1.21,100
2025-05-07 11:48:41.745,WTLA(D2:5B:8F:2B:49:EE),0.254,-0.418,0.881,0.0,-2.197,-0.671,-22.61,-13.51,162.34,-12.75,13.375,-51.0,0.17151,0.08334,-0.21014,0.95883,22.9,10080.1.21,100
2025-05-07 11:48:41.796,WTRA(F7:C5:A7:64:8A:09),0.288,0.505,0.839,0.183,1.404,0.488,32.46,-15.62,-147.69,-36.25,-35.625,-12.208,-0.30118,0.04849,0.30225,0.90305,23.3,10080.1.21,100
2025-05-07 11:48:41.844,WTC(C4:80:F9:46:D1:94),-0.259,0.74,0.638,0.793,-0.244,-0.244,49.49,16.02,-108.39,-29.125,-60.0,-68.725,-0.47943,-0.34732,0.26114,0.76236,25.8,10080.1.21,100
2025-05-07 11:48:41.871,WTLA(D2:5B:8F:2B:49:EE),0.261,-0.409,0.891,0.671,0.366,0.549,-22.52,-13.43,162.33,-12.75,13.375,-51.0,0.17151,0.08334,-0.21014,0.95883,22.9,10080.1.21,100
2025-05-07 11:48:41.884,WTRA(F7:C5:A7:64:8A:09),0.288,0.506,0.822,-0.427,0.061,0.061,32.44,-15.63,-147.67,-36.25,-35.625,-12.208,-0.30118,0.04849,0.30225,0.90305,23.3,10080.1.21,100
2025-05-07 11:48:41.926,WTLA(D2:5B:8F:2B:49:EE),0.251,-0.416,0.887,0.671,2.258,1.16,-22.46,-13.28,162.43,-12.75,13.375,-51.0,0.17029,0.08081,-0.2077,0.95981,22.9,10080.1.21,100
2025-05-07 11:48:41.937,WTC(C4:80:F9:46:D1:94),-0.263,0.741,0.621,2.38,0.244,-0.244,49.67,15.99,-108.39,-29.125,-60.0,-68.725,-0.47943,-0.34732,0.26114,0.76236,25.8,10080.1.21,100
2025-05-07 11:48:42.400,WTRA(F7:C5:A7:64:8A:09),0.279,0.504,0.828,0.61,0.732,0.488,32.43,-15.65,-147.65,-37.875,-35.625,-14.4,-0.30118,0.04849,0.30225,0.90305,23.3,10080.1.21,100
2025-05-07 11:48:42.430,WTLA(D2:5B:8F:2B:49:EE),0.253,-0.407,0.895,0.916,3.174,1.892,-22.38,-12.99,162.48,-12.75,13.375,-51.0,0.17029,0.08081,-0.2077,0.95981,22.9,10080.1.21,100
2025-05-07 11:48:42.560,WTC(C4:80:F9:46:D1:94),-0.27,0.759,0.632,0.793,1.77,0.305,49.97,16.14,-108.18,-29.125,-60.0,-68.725,-0.47852,-0.34882,0.26407,0.76123,25.8,10080.1.21,100
2025-05-07 11:48:42.680,WTRA(F7:C5:A7:64:8A:09),0.284,0.505,0.819,-0.122,0.0,-0.061,32.4,-15.67,-147.63,-37.875,-35.625,-14.4,-0.30118,0.04849,0.30225,0.90305,23.3,10080.1.21,100
2025-05-07 11:48:42.137,WTLA(D2:5B:8F:2B:49:EE),0.264,-0.414,0.896,0.366,3.113,1.343,-22.34,-12.75,162.58,-12.75,13.375,-51.0,0.17029,0.08081,-0.2077,0.95981,22.9,10080.1.21,100
2025-05-07 11:48:42.145,WTC(C4:80:F9:46:D1:94),-0.277,0.749,0.613,-0.854,0.305,0.122,50.02,16.23,-107.97,-28.0,-60.0,-65.975,-0.47852,-0.34882,0.26407,0.76123,25.8,10080.1.21,100
2025-05-07 11:48:42.185,WTRA(F7:C5:A7:64:8A:09),0.279,0.504,0.826,0.122,0.488,0.0,32.39,-15.69,-147.61,-37.875,-35.625,-14.4,-0.30203,0.04907,0.30179,0.90286,23.3,10080.1.21,100
2025-05-07 11:48:42.266,WTC(C4:80:F9:46:D1:94),-0.273,0.763,0.632,-2.625,-1.526,-0.183,49.99,16.36,-107.82,-28.0,-60.0,-65.975,-0.47852,-0.34882,0.26407,0.76123,25.8,10080.1.21,100
2025-05-07 11:48:42.276,WTRA(F7:C5:A7:64:8A:09),0.277,0.506,0.827,-0.427,-1.77,-0.244,32.37,-15.7,-147.58,-37.875,-35.625,-14.4,-0.30203,0.04907,0.30179,0.90286,23.3,10080.1.21,100
2025-05-07 11:48:42.284,WTLA(D2:5B:8F:2B:49:EE),0.247,-0.414,0.901,0.671,1.953,0.671,-22.33,-12.66,162.61,-12.0,12.125,-49.967,0.17029,0.08081,-0.2077,0.95981,22.9,10080.1.21,100
2025-05-07 11:48:42.325,WTC(C4:80:F9:46:D1:94),-0.265,0.76,0.617,-3.357,-3.601,-0.183,49.83,16.34,-107.84,-28.0,-60.0,-65.975,-0.47952,-0.34814,0.26193,0.76169,25.8,10080.1.21,100
2025-05-07 11:48:42.345,WTLA(D2:5B:8F:2B:49:EE),0.269,-0.414,0.911,0.122,1.343,-0.427,-22.28,-12.57,162.63,-12.0,12.125,-49.967,0.16837,0.07785,-0.20615,0.96072,22.9,10080.1.21,100
2025-05-07 11:48:42.396,WTRA(F7:C5:A7:64:8A:09),0.286,0.504,0.815,0.0,-0.732,-0.183,32.34,-15.73,-147.56,-35.875,-35.125,-16.7,-0.30203,0.04907,0.30179,0.90286,23.3,10080.1.21,100
2025-05-07 11:48:42.445,WTC(C4:80:F9:46:D1:94),-0.256,0.771,0.621,0.488,-4.517,-0.793,49.76,16.21,-108.08,-28.0,-60.0,-65.975,-0.47952,-0.34814,0.26193,0.76169,25.8,10080.1.21,100
2025-05-07 11:48:42.466,WTLA(D2:5B:8F:2B:49:EE),0.254,-0.413,0.908,0.366,1.221,-0.122,-22.26,-12.63,162.61,-12.0,12.125,-49.967,0.16837,0.07785,-0.20615,0.96072,22.9,10080.1.21,100
2025-05-07 11:48:42.485,WTRA(F7:C5:A7:64:8A:09),0.279,0.51,0.822,0.183,-1.526,0.0,32.33,-15.74,-147.54,-35.875,-35.125,-16.7,-0.30203,0.04907,0.30179,0.90286,23.3,10080.1.21,100
2025-05-07 11:48:42.534,WTC(C4:80:F9:46:D1:94),-0.258,0.757,0.613,1.77,1.465,0.0,49.82,16.04,-108.24,-28.0,-60.0,-65.975,-0.47952,-0.34814,0.26193,0.76169,25.8,10080.1.21,100
2025-05-07 11:48:42.554,WTLA(D2:5B:8F:2B:49:EE),0.247,-0.413,0.901,0.305,0.122,0.488,-22.23,-12.61,162.61,-12.0,12.125,-49.967,0.16837,0.07785,-0.20615,0.96072,22.9,10080.1.21,100
2025-05-07 11:48:42.629,WTRA(F7:C5:A7:64:8A:09),0.289,0.513,0.823,0.183,-0.122,0.061,32.31,-15.76,-147.52,-35.875,-35.125,-16.7,-0.3027,0.04959,0.30139,0.90274,23.3,10080.1.21,100
2025-05-07 11:48:42.654,WTC(C4:80:F9:46:D1:94),-0.259,0.759,0.625,1.343,2.197,0.061,49.95,16.08,-108.13,-29.125,-59.0,-70.092,-0.47952,-0.34814,0.26193,0.76169,25.8,10080.1.21,100
2025-05-07 11:48:42.679,WTLA(D2:5B:8F:2B:49:EE),0.234,-0.41,0.894,0.916,0.427,0.732,-22.2,-12.58,162.66,-11.625,11.875,-52.2,0.16837,0.07785,-0.20615,0.96072,22.9,10080.1.21,100
2025-05-07 11:48:42.693,WTRA(F7:C5:A7:64:8A:09),0.29,0.508,0.831,-0.549,0.122,0.0,32.29,-15.78,-147.51,-35.875,-35.125,-16.7,-0.3027,0.04959,0.30139,0.90274,23.3,10080.1.21,100
2025-05-07 11:48:42.735,WTLA(D2:5B:8F:2B:49:EE),0.243,-0.402,0.921,0.366,0.122,0.0,-22.08,-12.65,162.82,-11.625,11.875,-52.2,0.16638,0.08032,-0.20459,0.96121,22.9,10080.1.21,100
2025-05-07 11:48:42.747,WTC(C4:80:F9:46:D1:94),-0.267,0.756,0.625,-0.61,0.427,-0.061,49.96,16.13,-108.0,-29.125,-59.0,-70.092,-0.48004,-0.34882,0.26239,0.76086,25.8,10080.1.21,100
2025-05-07 11:48:42.838,WTRA(F7:C5:A7:64:8A:09),0.298,0.505,0.834,0.366,0.732,0.0,32.27,-15.8,-147.49,-37.375,-34.75,-12.142,-0.3027,0.04959,0.30139,0.90274,23.3,10080.1.21,100
2025-05-07 11:48:42.858,WTLA(D2:5B:8F:2B:49:EE),0.29,-0.406,0.892,-0.916,-7.019,-0.366,-22.1,-12.91,162.9,-11.625,11.875,-52.2,0.16638,0.08032,-0.20459,0.96121,22.9,10080.1.21,100
2025-05-07 11:48:42.863,WTC(C4:80:F9:46:D1:94),-0.269,0.743,0.627,-1.343,-2.319,0.549,49.81,16.15,-107.97,-29.125,-59.0,-70.092,-0.48004,-0.34882,0.26239,0.76086,25.8,10080.1.21,100
2025-05-07 11:48:42.877,WTRA(F7:C5:A7:64:8A:09),0.291,0.5,0.836,-1.648,-1.404,0.488,32.23,-15.85,-147.48,-37.375,-34.75,-12.142,-0.3027,0.04959,0.30139,0.90274,23.3,10080.1.21,100
2025-05-07 11:48:42.926,WTC(C4:80:F9:46:D1:94),-0.263,0.753,0.625,-2.563,-3.723,0.366,49.71,16.05,-107.98,-28.0,-60.0,-66.975,-0.48004,-0.34882,0.26239,0.76086,25.8,10080.1.21,100
2025-05-07 11:48:42.944,WTLA(D2:5B:8F:2B:49:EE),0.282,-0.413,0.884,6.592,-1.038,2.502,-21.93,-13.51,163.35,-11.625,11.875,-52.2,0.16638,0.08032,-0.20459,0.96121,22.9,10080.1.21,100
2025-05-07 11:48:42.996,WTRA(F7:C5:A7:64:8A:09),0.288,0.498,0.84,-1.648,-2.625,0.916,32.07,-15.99,-147.46,-37.375,-34.75,-12.142,-0.30383,0.05237,0.29965,0.9028,23.3,10080.1.21,100
2025-05-07 11:48:43.470,WTC(C4:80:F9:46:D1:94),-0.258,0.767,0.638,-2.625,-4.15,0.427,49.7,16.02,-108.0,-28.0,-60.0,-66.975,-0.48004,-0.34882,0.26239,0.76086,25.8,10080.1.21,100
2025-05-07 11:48:43.670,WTLA(D2:5B:8F:2B:49:EE),0.272,-0.398,0.905,4.211,-5.127,4.456,-21.62,-14.09,163.96,-12.625,11.625,-53.708,0.16638,0.08032,-0.20459,0.96121,22.9,10080.1.21,100
2025-05-07 11:48:43.890,WTRA(F7:C5:A7:64:8A:09),0.294,0.5,0.822,-0.366,-0.549,0.244,31.98,-16.07,-147.4,-37.375,-34.75,-12.142,-0.30383,0.05237,0.29965,0.9028,23.3,10080.1.21,100
2025-05-07 11:48:43.138,WTC(C4:80:F9:46:D1:94),-0.257,0.761,0.612,-0.305,-0.183,0.305,49.69,15.97,-107.98,-28.0,-60.0,-66.975,-0.48004,-0.34882,0.26239,0.76086,25.8,10080.1.21,100
2025-05-07 11:48:43.155,WTLA(D2:5B:8F:2B:49:EE),0.271,-0.401,0.899,1.892,-12.695,5.31,-21.54,-14.6,164.79,-12.625,11.625,-53.708,0.16638,0.08032,-0.20459,0.96121,22.9,10080.1.21,100
2025-05-07 11:48:43.206,WTRA(F7:C5:A7:64:8A:09),0.292,0.497,0.82,-0.061,-0.549,0.549,31.95,-16.15,-147.38,-37.75,-36.0,-14.917,-0.30383,0.05237,0.29965,0.9028,23.3,10080.1.21,100
2025-05-07 11:48:43.256,WTC(C4:80:F9:46:D1:94),-0.262,0.762,0.615,1.343,3.174,0.0,49.84,16.03,-107.83,-28.0,-60.0,-66.975,-0.48151,-0.3483,0.2627,0.76007,25.8,10080.1.21,100
2025-05-07 11:48:43.275,WTLA(D2:5B:8F:2B:49:EE),0.285,-0.396,0.895,-0.488,-2.93,6.958,-21.7,-14.77,165.67,-12.625,11.625,-53.708,0.14328,0.10226,-0.20154,0.96347,22.9,10080.1.21,100
2025-05-07 11:48:43.295,WTRA(F7:C5:A7:64:8A:09),0.295,0.5,0.823,0.488,0.61,-0.122,31.89,-16.2,-147.37,-37.75,-36.0,-14.917,-0.30383,0.05237,0.29965,0.9028,23.3,10080.1.21,100
2025-05-07 11:48:43.334,WTLA(D2:5B:8F:2B:49:EE),0.346,-0.416,0.888,-2.38,-0.488,7.568,-22.06,-14.67,166.48,-15.625,10.75,-53.242,0.14328,0.10226,-0.20154,0.96347,22.9,10080.1.21,100
2025-05-07 11:48:43.344,WTC(C4:80:F9:46:D1:94),-0.263,0.752,0.618,0.366,1.709,0.0,49.93,16.14,-107.63,-28.0,-60.0,-66.975,-0.48151,-0.3483,0.2627,0.76007,25.8,10080.1.21,100
