Path,Caption,GT
LM_video/IR/user1/3-1-1/IR.mp4,"The user stands leisurely in front of the cupboard, gently stirring the drink, and slowly enjoys her breakfast.","stirring,eating"
LM_video/IR/user1/3-1-2/IR.mp4,"The user stands calmly in front of the cupboard, steadily stirring the drink, and gradually enjoys her breakfast.","stirring,eating"
LM_video/IR/user1/3-1-3/IR.mp4,"The user stands hurriedly in front of the cupboard, rapidly stirring the drink, and quickly eats her breakfast.","stirring,eating"
LM_video/IR/user1/3-2-1/IR.mp4,"Afterward, the user stands up from the sofa and casually walks to the living room, carefully mops the floor, leaving it spotless. After finishing the mopping, she walks to the sofa, sits down, and attentively types on a keyboard, occasionally glancing at the time and earnestly reading documents, maintaining a highly productive state. Finally, she calmly goes to the center of the living room to perform squats and lunges with ease, enjoying the simple physical exercise.","standing up,walking,mopping,walking,sitting down,typing on a keyboard,checking the time,reading,squats,lunges"
LM_video/IR/user1/3-2-2/IR.mp4,"Then, the user stands up from the sofa and steadily walks to the living room, meticulously mops the floor, ensuring it is neat and tidy. After finishing, she walks to the sofa, sits down, and calmly types on a keyboard, occasionally checking the time and carefully reading documents, maintaining a steady working rhythm. Lastly, the user confidently goes to the center of the living room to complete squats and lunges, finishing a simple physical workout.","standing up,walking,mopping,walking,sitting down,typing on a keyboard,checking the time,reading,squats,lunges"
LM_video/IR/user1/3-2-3/IR.mp4,"The user hurriedly stands up from the sofa, briskly walks to the living room, swiftly mops the floor, striving to keep it clean. After finishing, she walks to the sofa, sits down tensely (acceptable but a bit awkward—see note below), and anxiously types on a keyboard, frequently checking the time and urgently reads through the documents, maintaining a fast work pace. At last, the user quickly moves to the center of the living room and hastily completes squats and lunges to finish a quick workout.","standing up,walking,mopping,walking,sitting down,typing on a keyboard,checking the time,reading,squats,lunges"
LM_video/IR/user1/4-1-1/IR.mp4,"The user leisurely sits on the sofa, casually peeling fruit with nimble fingers, occasionally humming a tune, clearly in a cheerful mood. Soft music plays from the phone as the user gently sways to the rhythm. Afterward, she meticulously wipes the table, moving gracefully as if savoring each detail. When pouring the drink, she slowly stirs it with focused eyes, then sits beside the sofa and slowly sips the refreshing beverage. During the meal, she elegantly uses utensils and thoroughly chews each bite. Finally, while wiping the dishes, the user appears serene.","peeling fruit,wiping surfaces,pouring,stirring,drinking,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/4-1-2/IR.mp4,"The user calmly sits on the sofa, steadily peeling fruit with focused eyes. Light, upbeat music plays from the phone, and the user occasionally nods in sync. Afterward, she seriously wipes the table, performing each motion methodically and precisely. When pouring the drink, she evenly stirs it with smooth, practiced motions, then quietly enjoys the beverage beside the sofa. During the meal, the user neatly uses utensils and eats each bite with appropriate care. At last, while wiping the dishes, the user appears composed.","peeling fruit,wiping surfaces,pouring,stirring,drinking,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/4-1-3/IR.mp4,"The user quickly sits on the sofa and rapidly peels the fruit, fingers moving briskly, looking slightly tense. Intense music plays from the phone, and the user occasionally glances at the screen. Afterward, she hurriedly wipes the table with rushed, unsteady movements. When pouring the drink, she stirs it quickly, then sits beside the sofa and hastily drinks the beverage. During the meal, she quickly uses utensils and swallows each bite hurriedly. Finally, while wiping the dishes, the user appears anxious.","peeling fruit,wiping surfaces,pouring,stirring,drinking,grabbing utensils,eating,washing dishes"
LM_video/IR/user1/5-1-1/IR.mp4,"The user leisurely sits on the sofa, gently raises the phone and smiles faintly while taking a selfie. Music plays through her earphones, and she instinctively nods to the beat, her movements flowing naturally. Occasionally, she puts the phone down and unhurriedly picks up a cup, sipping slowly to soothe her throat, then calmly checks the time to ensure she doesn’t miss anything. Next, she casually uses the remote to change the background on the TV screen, the whole process appearing relaxed.","taking a selfie,listen to music with headphones,grabbing utensils,drinking,checking the time,watching TV"
LM_video/IR/user1/5-1-2/IR.mp4,"The user calmly sits on the sofa, steadily raises the phone for a selfie, her gaze focused. With music playing through her earphones, she gently nods to the rhythm, her actions steady and rhythmic. Occasionally setting the phone aside, she lightly picks up a cup, slowly drinks to moisten her throat, and then carefully checks the time, ensuring no schedule is missed. Then, she attentively uses the remote to switch the TV’s background scene, the whole process appearing organized.","taking a selfie,listen to music with headphones,grabbing utensils,drinking,checking the time,watching TV"
LM_video/IR/user1/5-1-3/IR.mp4,"The user anxiously sits on the sofa, hurriedly raises the phone for a selfie, her brows furrowed. Music plays through her earphones, and she nods along, but her movements appear slightly rushed. Occasionally, she urgently grabs the cup and quickly drinks to soothe her throat, then nervously checks the time to avoid missing anything. Next, she rapidly switches the background on the TV screen with the remote, the entire process feeling rushed and tense.","taking a selfie,listen to music with headphones,grabbing utensils,drinking,checking the time,watching TV"
LM_video/IR/user1/6-1-1/IR.mp4,"The user gently walks to the kitchen, slowly peels the fruit, and carefully savors each bite.","walking,peeling fruit,eating"
LM_video/IR/user1/6-1-2/IR.mp4,"The user steadily walks toward the kitchen, skillfully peels the fruit, and evenly enjoys each piece.","walking,peeling fruit,eating"
LM_video/IR/user1/6-1-3/IR.mp4,"The user briskly walks toward the kitchen, quickly peels the fruit, and hurriedly eats a chunk.","walking,peeling fruit,eating"
LM_video/IR/user1/6-2-1/IR.mp4,"Then, the user stands up from the sofa and leisurely begins cleaning, softly sweeping the floor, gradually making the living room tidy. Finally, she quietly sits on the sofa, slowly flips through the pages, and carefully reads the materials, getting ready to embrace the new day.","standing up,sweeping,walking,sitting down,turning a page,reading"
LM_video/IR/user1/6-2-2/IR.mp4,"Next, the user stands up from the sofa and systematically begins cleaning, sweeping evenly and restoring order to the living room. Then, she steadily sits on the sofa, flips through the pages methodically, and attentively reads the materials, fully prepared for the day ahead.","standing up,sweeping,walking,sitting down,turning a page,reading"
LM_video/IR/user1/6-2-3/IR.mp4,"Immediately after, the user stands up from the sofa and hurriedly begins cleaning, sweeping quickly and rapidly refreshing the living room. Finally, she hastily sits on the sofa, quickly flips through the pages, and urgently reads the materials, tensely preparing for the new day.","standing up,sweeping,walking,sitting down,turning a page,reading"
LM_video/IR/user1/7-1-1/IR.mp4,"The user slowly sits on the sofa in the living room, frowning slightly in discomfort. She gently takes out a pill from the medicine box on the table and cautiously takes it with a cup of water. Afterward, she softly massages her neck, trying to relieve the soreness from sitting too long. Then, she gently dries her hands with a towel, sits firmly on the sofa, and calmly starts stretching exercises, slowly extending her limbs.","sitting down,opening storage container,taking medicine,massaging oneself,wiping hands,stretching"
LM_video/IR/user1/7-1-2/IR.mp4,"The user calmly sits on the sofa in the living room, feeling slightly unwell. She casually picks out a pill from the medicine box on the table and takes it with water. After that, she briefly massages her neck, trying to ease the soreness from prolonged sitting. Then, she dries her hands with a towel, sits on the sofa, and performs some stretches in a relaxed manner, loosening up her body.","sitting down,opening storage container,taking medicine,massaging oneself,wiping hands,stretching"
LM_video/IR/user1/7-1-3/IR.mp4,"The user anxiously sits on the sofa in the living room, feeling obvious discomfort. She quickly grabs a pill from the medicine box on the table and hastily takes it with water. Then, she urgently massages her neck, trying to relieve the soreness from prolonged sitting. After that, she wipes her hands and sits on the sofa to perform rapid stretching exercises, hurriedly trying to loosen her body.","sitting down,opening storage container,taking medicine,massaging oneself,wiping hands,stretching"
LM_video/IR/user2/1-1-1/IR.mp4,"The user stands in front of the wardrobe, methodically tidying up clothes, carefully folding each piece of clothing neatly, and gently placing them into the wardrobe.",folding clothes
LM_video/IR/user2/1-1-2/IR.mp4,"The user stands in front of the wardrobe, organizing clothes in an orderly manner, folding them quickly and precisely, and placing them neatly into the wardrobe.",folding clothes
LM_video/IR/user2/1-1-3/IR.mp4,"The user stands in front of the wardrobe, frantically sorting clothes, hurriedly folding them messily, and stuffing them carelessly into the wardrobe.",folding clothes
LM_video/IR/user2/1-2-1/IR.mp4,"The user walks slowly into the kitchen and stretches leisurely, with soft and smooth movements. Standing at the kitchen table, she picks up the utensils and leisurely enjoys her food, savoring every bite. Finally, she picks up the water cup and slowly sips, with a calm and satisfied look.","walking,stretching,grabbing utensils,eating,grabbing utensils,drinking"
LM_video/IR/user2/1-2-2/IR.mp4,"The user walks smoothly into the kitchen and stretches neatly, with crisp and powerful movements. Standing at the kitchen table, she picks up the utensils and eats her food steadily, with clean and neat movements. Finally, she picks up the water cup and drinks it all, with a relaxed and comfortable look.","walking,stretching,grabbing utensils,eating,grabbing utensils,drinking"
LM_video/IR/user2/1-2-3/IR.mp4,"The user rushes into the kitchen and stretches a few times in a hurry, with hasty and stiff movements. Standing at the kitchen table, she grabs the cutlery and eats her food rapidly, with hurry and impatience. Finally, she picks up the water cup and drinks it in big gulps, looking nervous and anxious.","walking,stretching,grabbing utensils,eating,grabbing utensils,drinking"
LM_video/IR/user2/2-1-1/IR.mp4,"The user slowly walks into the kitchen, gently opens the refrigerator, slowly takes out a bottle of juice, and carefully pours it into a glass. Then, the user slowly opens the drawer, gently takes out a set of tableware, savors breakfast, and occasionally sips juice.","walking,opening storage container,pouring,opening storage container,grabbing utensils,eating,drinking"
LM_video/IR/user2/2-1-2/IR.mp4,"The user calmly walks into the kitchen, steadily opens the refrigerator, calmly takes out a bottle of juice, and steadily pours it into a glass. Then, the user calmly opens the drawer, steadily takes out a set of tableware, quietly enjoys breakfast, and occasionally calmly takes a few sips of juice.","walking,opening storage container,pouring,opening storage container,grabbing utensils,eating,drinking"
LM_video/IR/user2/2-1-3/IR.mp4,"The user hurriedly walks into the kitchen, quickly opens the refrigerator, hurriedly takes out a bottle of juice, and hurriedly pours it into a glass. Then, the user quickly opens the drawer, hurriedly takes out a set of tableware, quickly enjoys breakfast, and occasionally takes a few sips of juice.","walking,opening storage container,pouring,opening storage container,grabbing utensils,eating,drinking"
LM_video/IR/user2/2-2-1/IR.mp4,"Afterward, the user sits beside the coffee table and unhurriedly opens the drawer, gently takes out a set of tableware, and carefully savors breakfast, occasionally sipping juice in small sips. After breakfast, the user stretches her body and slowly performs stretching exercises, gently completes squats, maintaining flexibility and vitality. After the workout, she sits on the sofa and gently wipes her hands, slowly massages herself, and carefully measures her temperature to ensure health and balance.","opening storage container,grabbing utensils,eating,drinking,stretching,squats,wiping hands,massaging oneself,measure body temperature"
LM_video/IR/user2/2-2-2/IR.mp4,"Next, the user sits beside the coffee table and calmly opens the drawer, steadily takes out a set of tableware, quietly enjoys breakfast, and occasionally takes calm sips of juice. After breakfast, she steadily performs stretching exercises, completes squats with stable movements, maintaining health and vitality. After the workout, she sits on the sofa, steadily wipes her hands, calmly massages herself, and carefully measures her temperature to ensure normal condition.","opening storage container,grabbing utensils,eating,drinking,stretching,squats,wiping hands,massaging oneself,measure body temperature"
LM_video/IR/user2/2-2-3/IR.mp4,"Then, the user sits beside the coffee table and quickly opens the drawer, hurriedly takes out a set of tableware, rapidly finishes breakfast, and occasionally drinks juice in quick gulps. After breakfast, she swiftly begins stretching exercises, quickly completes squats, eager to maintain physical vitality. After the workout, she sits on the sofa, hurriedly wipes her hands, quickly massages herself, and hastily measures her temperature, eager to confirm her health.","opening storage container,grabbing utensils,eating,drinking,stretching,squats,wiping hands,massaging oneself,measure body temperature"
LM_video/IR/user2/3-1-1/IR.mp4,"The user stands in the center of the kitchen and leisurely bends down to sweep the floor, slowly gathering the crumbs and dust into a pile. Then, the user casually dips the mop into cleaning solution and carefully mops the floor until it is spotless.","sweeping,mopping"
LM_video/IR/user2/3-1-2/IR.mp4,"The user stands in the center of the kitchen and calmly bends down to sweep the floor, steadily gathering the crumbs and dust into a pile. Then, the user steadily dips the mop into cleaning solution and meticulously mops the floor until it is spotless.","sweeping,mopping"
LM_video/IR/user2/3-1-3/IR.mp4,"The user stands in the center of the kitchen and eagerly bends down to sweep the floor, quickly gathering the crumbs and dust into a pile. Then, the user hurriedly dips the mop into cleaning solution and rapidly mops the floor until it is spotless.","sweeping,mopping"
LM_video/IR/user2/3-2-2/IR.mp4,"After finishing the work in the kitchen, the user walks calmly to the living room, sits on the sofa, and seriously flips through the documents, occasionally turning the pages quickly, with a focused and composed gaze.","walking,reading,turning a page"
LM_video/IR/user2/3-2-3/IR.mp4,"After finishing the work in the kitchen, the user walks briskly to the living room, sits on the sofa, and quickly flips through the documents, occasionally turning the pages hastily, with an anxious yet focused gaze.","walking,reading,turning a page"
LM_video/IR/user2/4-1-1/IR.mp4,"The user sits on the sofa and leisurely dials a phone call, speaking softly and gently with a friend to discuss the weekend gathering arrangements. Then, she stands up and unhurriedly places the phone on the coffee table, casually picks up a pen and a book, and begins writing with focus. When inspiration flows like a spring, she stands up from the desk, calmly puts down the pen, and walks slowly toward the kitchen.","using mobile phone,standing up,writing,standing up,walking"
LM_video/IR/user2/4-1-2/IR.mp4,"The user sits on the sofa and calmly makes a phone call, speaking in a gentle tone with a friend to discuss the weekend gathering plans. Then, she stands up, gently places the phone on the coffee table, picks up a pen and a book, and begins writing seriously. When inspiration suddenly strikes, she stands up from the desk, slowly puts down the pen, and steadily walks toward the kitchen.","using mobile phone,standing up,writing,standing up,walking"
LM_video/IR/user2/4-1-3/IR.mp4,"The user sits on the sofa and hurriedly dials a phone call, speaking at a relatively fast pace with a friend to discuss the weekend gathering plans. Then, she stands up, hastily places the phone on the coffee table, quickly picks up a pen and a book, and begins writing eagerly. When inspiration bursts forth, she stands up from the desk, quickly puts down the pen, and walks briskly toward the kitchen.","using mobile phone,standing up,writing,standing up,walking"
LM_video/IR/user2/4-2-1/IR.mp4,"Begins carefully preparing a simple lunch. While standing in the kitchen, the user gracefully serves the food with utensils, stands by the table savoring each bite, occasionally sipping water gently.","grabbing utensils,eating,drinking"
LM_video/IR/user2/4-2-2/IR.mp4,"Begins methodically preparing a simple lunch. While standing in the kitchen, the user neatly serves the food with utensils, stands by the table slowly enjoying the meal, occasionally taking a sip of water.","grabbing utensils,eating,drinking"
LM_video/IR/user2/4-2-3/IR.mp4,"Begins hurriedly preparing a simple lunch. While standing in the kitchen, the user quickly serves the food with utensils, stands by the table eating a few bites in a rush, occasionally gulping down water.","grabbing utensils,eating,drinking"
LM_video/IR/user2/4-3-1/IR.mp4,"After a moment, the user stands up from the chair and contentedly returns to the living room, sits down on the sofa, and continues writing immersively.","standing up,walking,sitting down,writing"
LM_video/IR/user2/4-3-2/IR.mp4,"After a moment, the user stands up from the chair and calmly returns to the living room, sits down on the sofa, and continues writing intently.","standing up,walking,sitting down,writing"
LM_video/IR/user2/4-3-3/IR.mp4,"After a moment, the user stands up from the chair and eagerly returns to the living room, sits down on the sofa, and continues writing nervously.","standing up,walking,sitting down,writing"
LM_video/IR/user2/5-1-1/IR.mp4,"The user stands in the middle of the living room and slowly starts running on the spot, with light and orderly steps, gradually speeding up the rhythm, and breathing steadily and deeply. Then, the user performs several sets of squats on the spot, with slow and powerful movements, and each set is accurate. Then, the user stands in place and performs jumping jacks, with smooth and coordinated movements, gradually activating the body.","running,squats,jumping jacks"
LM_video/IR/user2/5-1-2/IR.mp4,"The user stands in the middle of the living room and steadily starts running on the spot, with steady and even steps, gradually speeding up the rhythm, and breathing evenly and powerfully. Then, the user performs several sets of squats on the spot, with standard and powerful movements, and each set is full of power. Then, the user stands in place and performs jumping jacks, with quick and powerful movements, and the body is gradually awakened.","running,squats,jumping jacks"
LM_video/IR/user2/5-1-3/IR.mp4,"The user stands in the middle of the living room and anxiously starts running on the spot, with rapid and chaotic steps, gradually speeding up the rhythm, and breathing rapidly and shallowly. Afterwards, the user performs several sets of squats on the spot, with hurried and rapid movements, and each set seems a bit impatient. Then, the user stands in place and performs jumping jacks, with rapid and chaotic movements, gradually activating the body.","running,squats,jumping jacks"
LM_video/IR/user2/5-2-1/IR.mp4,"After exercising, the user returns to the kitchen, carefully peels a fresh piece of fruit, enjoying a healthy post-workout snack and feeling the vitality and freshness in her body.","walking,peeling fruit"
LM_video/IR/user2/5-2-2/IR.mp4,"After exercising, the user returns to the kitchen, quickly peels a fresh piece of fruit, enjoying a healthy post-workout snack and feeling the vitality and freshness in her body.","walking,peeling fruit"
LM_video/IR/user2/5-2-3/IR.mp4,"After exercising, the user returns to the kitchen, hurriedly peels a fresh piece of fruit, enjoying a healthy post-workout snack and feeling the vitality and freshness in her body.","walking,peeling fruit"
LM_video/IR/user2/6-1-1/IR.mp4,"The user stands in the center of the living room and leisurely begins running in place, warming up in a relaxed manner. After finishing, she slowly pours a drink and gently stirs it. Then, the user sits quietly on the sofa and picks up her phone, listening calmly to music with headphones. She begins doing gentle jumping jacks on the spacious floor to enhance aerobic capacity and endurance. Finally, the user completes several sets of gentle stretching exercises, relaxing the body.","running,sitting down,pouring,stirring,using phone,listening to music with headphones,jumping jacks,walking,stretching"
LM_video/IR/user2/6-1-2/IR.mp4,"The user stands in the center of the living room and quickly begins running in place, warming up eagerly. After finishing, she quickly pours a drink and stirs it hastily. Then, the user hurriedly picks up her phone while sitting on the sofa, anxiously listening to music with headphones. She begins doing fast jumping jacks on the spacious floor to enhance aerobic capacity and endurance. Finally, the user completes several sets of rapid stretching exercises, relaxing the body.","running,sitting down,pouring,stirring,using phone,listening to music with headphones,jumping jacks,walking,stretching"
LM_video/IR/user2/7-1-1/IR.mp4,"The user slowly sits down on the sofa in the living room, looking slightly unwell, gently takes out a pill from the medicine box on the coffee table, and slowly swallows it with water.","sitting down,opening storage container,taking medicine"
LM_video/IR/user2/7-1-2/IR.mp4,"The user calmly sits down on the sofa in the living room, feeling slightly unwell, quickly takes out a pill from the medicine box on the coffee table, and quickly swallows it with water.","sitting down,opening storage container,taking medicine"
LM_video/IR/user2/7-1-3/IR.mp4,"The user anxiously sits down on the sofa in the living room, clearly feeling unwell, hurriedly takes out a pill from the medicine box on the coffee table, and hurriedly swallows it with water.","sitting down,opening storage container,taking medicine"
LM_video/IR/user2/7-2-1/IR.mp4,"Then, the user slowly walks to the kitchen, gently peels the fruit, and slowly savors a few bites.","walking,peeling fruit,eating"
LM_video/IR/user2/7-2-2/IR.mp4,"After that, the user walks quickly to the kitchen, rapidly peels the fruit, and takes big bites.","walking,peeling fruit,eating"
LM_video/IR/user2/7-2-3/IR.mp4,"After that, the user hurriedly walks to the kitchen, hurriedly peels the fruit, and eats a few bites in haste.","walking,peeling fruit,eating"
LM_video/IR/user2/7-3-1/IR.mp4,"Then, the user slowly returns to the living room, walks, sits on the sofa, gently opens the phone, quietly listens to music with headphones, and gently massages her neck, gradually relieving the pain. After the music ends, she stands in the middle of the living room and slowly stretches, and after finishing, she gently wipes the sweat off her hands with a towel.","walking,sitting down,using mobile phone,listening to music with headphones,massaging oneself,standing up,stretching,wiping hands"
LM_video/IR/user2/7-3-2/IR.mp4,"Then, the user quickly returns to the living room, walks, sits on the sofa, quickly opens the phone, listens to music with headphones attentively, and vigorously massages her neck, quickly relieving the pain. After the music ends, she stands in the middle of the living room and quickly stretches, and after finishing, she quickly wipes the sweat off her hands with a towel.","walking,sitting down,using mobile phone,listening to music with headphones,massaging oneself,standing up,stretching,wiping hands"
LM_video/IR/user2/7-3-3/IR.mp4,"Then, the user hurriedly returns to the living room, walks, sits on the sofa, hurriedly turns on the phone, nervously listens to music with headphones, and hurriedly massages her neck, eager to relieve the soreness. After the music ends, she stands in the middle of the living room and hurriedly stretches, and hurriedly wipes the sweat from her hands with a towel.","walking,sitting down,using mobile phone,listening to music with headphones,massaging oneself,standing up,stretching,wiping hands"
LM_video/IR/user3/1-1-1/IR.mp4,"Standing beside the bedroom wardrobe, the user slowly gets dressed, lazily checking the time on his watch, making sure not to be late.","getting dressed,checking the time"
LM_video/IR/user3/1-1-2/IR.mp4,"Standing beside the bedroom wardrobe, the user calmly gets dressed, carefully checking the time on his watch, making sure not to be late.","getting dressed,checking the time"
LM_video/IR/user3/1-1-3/IR.mp4,"Standing beside the bedroom wardrobe, the user quickly gets dressed, anxiously checking the time on his watch, making sure not to be late.","getting dressed,checking the time"
LM_video/IR/user3/1-2-1/IR.mp4,"The user casually puts on headphones, walks into the kitchen, leisurely listening to music. Then, he drinks water at an unhurried pace to stay hydrated, and finally, nonchalantly tidies his hair. After making sure everything is in place, he calmly leaves.","listen to music with headphones,walking,drinking,combing hair,walking"
LM_video/IR/user3/1-2-2/IR.mp4,"The user quietly puts on headphones, walks into the kitchen, attentively listening to music. Then, he calmly drinks water to stay hydrated, and finally, carefully tidies his hair. After making sure everything is in place, he leaves in a composed manner.","listen to music with headphones,walking,drinking,combing hair,walking"
LM_video/IR/user3/1-2-3/IR.mp4,"The user hastily puts on headphones, walks into the kitchen, listening to music in a hurried manner. Then, he quickly drinks water to stay hydrated, and finally, nervously tidies his hair. After making sure everything is in place, he hurriedly leaves.","listen to music with headphones,walking,drinking,combing hair,walking"
LM_video/IR/user3/2-1-1/IR.mp4,"The user stands in the middle of the living room and slowly runs in place, breathing steadily and deeply. He then slowly bends down to perform squats with smooth, powerful movements. After the exercises, the user walks to the sofa and gently lies down in slow, rhythmic motions. When finished, he gradually rises and performs stretching exercises with extended, relaxed movements.","running,squats,lying down,standing up,stretching"
LM_video/IR/user3/2-1-2/IR.mp4,"The user stands in the middle of the living room and quickly runs in place, breathing rapidly. He then quickly bends down and starts to do squats with quick, powerful movements. After stretching exercises, the user walks to the sofa and hurriedly lies down in quick, intense motions. After the exercise, he abruptly rises and performs stretching exercises with rushed, brief movements.","running,squats,lying down,standing up,stretching"
LM_video/IR/user3/2-1-3/IR.mp4,"The user stands in the middle of the living room and steadily runs in place, breathing evenly. He then smoothly bends down and starts to do squats with controlled movements. After stretching exercises, the user walks to the sofa and steadily lies down in balanced, rhythmic motions. After the exercise, he steadily rises and performs stretching exercises with stable, relaxed movements.","running,squats,lying down,standing up,stretching"
LM_video/IR/user3/2-2-1/IR.mp4,"Afterwards, the user slowly walks to the kitchen, gently opens the medicine cabinet, and takes the medicine with delicate and careful movements. After taking the medicine, the user gently massages his shoulder, with soft and soothing motions. Finally, the user carefully measures his body temperature, records the result, and gently returns the thermometer to its original place, with meticulous and cautious movements.","walking,opening storage container,taking medicine,massaging oneself,measure body temperature"
LM_video/IR/user3/2-2-2/IR.mp4,"Afterwards, the user walks quickly to the kitchen, rapidly opens the medicine cabinet, and takes the medicine in a hurried and rushed manner. After taking the medicine, the user quickly massages his shoulder, with short and hasty movements. Finally, the user quickly measures his body temperature, records the result, and hastily returns the thermometer to its place, in a rushed and tense manner.","walking,opening storage container,taking medicine,massaging oneself,measure body temperature"
LM_video/IR/user3/2-2-3/IR.mp4,"Afterwards, the user walks steadily to the kitchen, steadily opens the medicine cabinet, and takes the medicine with stable and careful movements. After taking the medicine, the user steadily massages his shoulder, with steady and soothing movements. Finally, the user steadily measures his body temperature, records the result, and steadily places the thermometer back in its original spot, with stable and precise actions.","walking,opening storage container,taking medicine,massaging oneself,measure body temperature"
LM_video/IR/user3/3-1-1/IR.mp4,"Standing by the kitchen counter, the user carefully wipes each piece of tableware, his fingers gently gliding over the plates and bowls, moving slowly and methodically, as if savoring each moment. Then, the user patiently peels the fruit, neatly arranging the fruit on a plate, with a focused and serene expression.","walking,sitting down,calling,listen to music with headphones,typing on a keyboard,writing"
LM_video/IR/user3/3-1-2/IR.mp4,"Standing by the kitchen counter, the user steadily wipes the dishes, moving smoothly among the plates and bowls with stable motions and a calm, focused expression. Then, the user calmly peels the fruit, neatly arranging the fruit on a plate with steady and careful movements.","walking,sitting down,calling,listen to music with headphones,typing on a keyboard,writing"
LM_video/IR/user3/3-1-3/IR.mp4,"Standing by the kitchen counter, the user hurriedly wipes the dishes, his fingers quickly scrubbing each bowl and plate in somewhat messy motions, with a slightly anxious expression. Then, the user quickly peels the fruit, placing the flesh on the plate carelessly, with rushed and imprecise movements.","walking,sitting down,calling,listen to music with headphones,typing on a keyboard,writing"
LM_video/IR/user3/3-2-1/IR.mp4,"After standing up from the bedroom and walking into the living room, the user sits down slowly. He picks up his phone and makes a call, speaking softly in brief, friendly conversation. After hanging up, he puts on headphones and types gently on the keyboard, pausing occasionally to reflect before continuing to write at a steady, unhurried pace.","typing on a keyboard,calling,reading,turning a page,grabbing utensils,stirring,drinking,peeling fruit,eating,throwing"
LM_video/IR/user3/3-2-2/IR.mp4,"After standing up from the bedroom and walking into the living room, the user sits down abruptly. He makes a phone call, speaking urgently in direct, concise conversation. After hanging up, he puts on headphones and types rapidly on a keyboard, pausing briefly before resuming writing at a fast but orderly pace.","typing on a keyboard,calling,reading,turning a page,grabbing utensils,stirring,drinking,peeling fruit,eating,throwing"
LM_video/IR/user3/3-2-3/IR.mp4,"After standing up from the bedroom and walking into the living room, the user sits down calmly. He makes a phone call, speaking evenly in brief conversation. After hanging up, he puts on headphones and types consistently on a keyboard, pausing occasionally with slight frowns before continuing to write in a stable, methodical manner.","typing on a keyboard,calling,reading,turning a page,grabbing utensils,stirring,drinking,peeling fruit,eating,throwing"
